time,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z
0.403111000,-0.28917,-0.12025,0.08081,-1.35813,0.37168,-0.75434
0.405768000,-0.29278,-0.11926,0.07881,-1.35813,0.37168,-0.75434
0.408419000,-0.29638,-0.11828,0.07681,-1.35813,0.37168,-0.75434
0.411068000,-0.29722,-0.11834,0.07555,-0.31688,-0.02207,-0.47434
0.413719000,-0.29805,-0.11840,0.07430,-0.31688,-0.02207,-0.47434
0.416375000,-0.29890,-0.11845,0.07304,-0.31688,-0.02207,-0.47434
0.419025000,-0.29974,-0.11851,0.07178,-0.31688,-0.02207,-0.47434
0.421673000,-0.30676,-0.11804,0.07414,-2.65313,0.17918,0.89066
0.424323000,-0.31379,-0.11756,0.07650,-2.65313,0.17918,0.89066
0.426979000,-0.32082,-0.11709,0.07886,-2.65313,0.17918,0.89066
0.429644000,-0.32790,-0.11661,0.08124,-2.65313,0.17918,0.89066
0.432295000,-0.33787,-0.11472,0.08260,-3.76438,0.71293,0.51441
0.434944000,-0.34784,-0.11283,0.08396,-3.76438,0.71293,0.51441
0.437597000,-0.35783,-0.11094,0.08533,-3.76438,0.71293,0.51441
0.440245000,-0.36779,-0.10906,0.08669,-3.76438,0.71293,0.51441
0.442894000,-0.37187,-0.10886,0.08747,-1.54188,0.07418,0.29566
0.445544000,-0.37596,-0.10866,0.08825,-1.54188,0.07418,0.29566
0.448199000,-0.38005,-0.10847,0.08904,-1.54188,0.07418,0.29566
0.450850000,-0.38413,-0.10827,0.08982,-1.54188,0.07418,0.29566
0.453497000,-0.38703,-0.10953,0.09565,-1.09563,-0.47707,2.20316
0.456154000,-0.38994,-0.11080,0.10150,-1.09563,-0.47707,2.20316
0.458807000,-0.39285,-0.11206,0.10734,-1.09563,-0.47707,2.20316
0.461462000,-0.39576,-0.11333,0.11319,-1.09563,-0.47707,2.20316
0.464112000,-0.39231,-0.11445,0.11453,1.30187,-0.42457,0.50566
0.466780000,-0.38884,-0.11559,0.11588,1.30187,-0.42457,0.50566
0.469429000,-0.38539,-0.11671,0.11722,1.30187,-0.42457,0.50566
0.472080000,-0.38194,-0.11784,0.11856,1.30187,-0.42457,0.50566
0.474729000,-0.37687,-0.11824,0.11480,1.91437,-0.15332,-1.41934
0.477392000,-0.37177,-0.11865,0.11102,1.91437,-0.15332,-1.41934
0.480042000,-0.36670,-0.11906,0.10726,1.91437,-0.15332,-1.41934
0.482693000,-0.36163,-0.11946,0.10350,1.91437,-0.15332,-1.41934
0.485343000,-0.35742,-0.12043,0.10102,1.59062,-0.36332,-0.93809
0.487999000,-0.35319,-0.12139,0.09853,1.59062,-0.36332,-0.93809
0.490647000,-0.34898,-0.12235,0.09604,1.59062,-0.36332,-0.93809
0.493298000,-0.34477,-0.12331,0.09356,1.59062,-0.36332,-0.93809
0.496050000,-0.34528,-0.12492,0.09376,-0.19438,-0.60832,0.07691
0.498711000,-0.34582,-0.12660,0.09397,-0.19438,-0.60832,0.07691
0.501372000,-0.34634,-0.12822,0.09418,-0.19438,-0.60832,0.07691
0.504023000,-0.34685,-0.12984,0.09438,-0.19438,-0.60832,0.07691
0.506683000,-0.35602,-0.12889,0.09552,-3.44938,0.35418,0.42691
0.509410000,-0.36542,-0.12793,0.09668,-3.44938,0.35418,0.42691
0.512062000,-0.37457,-0.12699,0.09781,-3.44938,0.35418,0.42691
0.514713000,-0.38371,-0.12605,0.09894,-3.44938,0.35418,0.42691
0.517388000,-0.38716,-0.12693,0.09955,-1.28813,-0.32832,0.22566
0.520038000,-0.39057,-0.12780,0.10015,-1.28813,-0.32832,0.22566
0.522690000,-0.39398,-0.12867,0.10074,-1.28813,-0.32832,0.22566
0.525340000,-0.39740,-0.12954,0.10134,-1.28813,-0.32832,0.22566
0.527999000,-0.39650,-0.12911,0.09892,0.33937,0.16168,-0.91184
0.530663000,-0.39559,-0.12868,0.09649,0.33937,0.16168,-0.91184
0.533313000,-0.39469,-0.12825,0.09407,0.33937,0.16168,-0.91184
0.536002000,-0.39378,-0.12782,0.09162,0.33937,0.16168,-0.91184
0.538657000,-0.39613,-0.12797,0.09069,-0.88563,-0.05707,-0.35184
0.541306000,-0.39848,-0.12812,0.08976,-0.88563,-0.05707,-0.35184
0.543956000,-0.40082,-0.12827,0.08883,-0.88563,-0.05707,-0.35184
0.546614000,-0.40317,-0.12842,0.08789,-0.88563,-0.05707,-0.35184
0.549270000,-0.40344,-0.13071,0.09000,-0.09813,-0.86207,0.79441
